INFO: 2025/04/25 18:15:27 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:30 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:34 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:37 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:40 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:43 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:46 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:49 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:52 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:55 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:58 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:01 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:04 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:07 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:10 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:13 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:16 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:19 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:22 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:25 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:28 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:31 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:34 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:37 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:40 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:43 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:46 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:49 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:52 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:56 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:16:59 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:02 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:05 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:08 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:11 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:14 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:17 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:20 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:23 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:26 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:29 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:32 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:35 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:38 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:41 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:44 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:47 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:50 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:53 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:56 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:17:59 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:18:02 proxy.go:347: Reset all microphone states due to empty API response
